Id,File_name,Country,City,Address,Lat,Long,Streetview,Lat_decimal,Long_decimal,Text,Color,Background_color,Weight,Case,Composition,Image,@img
23,britannic23,Italy,Ragusa,Corso XXV Aprile,"36° 55' 32.25"" N","14° 44' 49.53"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1435658742551!6m8!1m7!1s3ojN_ep9mqllCY-eYIU7UQ!2m2!1d36.92563!2d14.746785!3f185.34656873923547!4f-3.685792511143177!5f0.4000000000000002,36.925625,14.747092,Vendita formaggi Ragusani e Siciliani Salumi Locali Olio D.O.P. Monti Iblei Conserve - Miele - Marmellate - Vini - Cioccolato Modicano ,#ffcb05,,bold,lowercase,horizontal,https://images.unsplash.com/photo-1723531449515-af7c14403de3?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQ4MHw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_023.jpg
24,britannic24,France,Paris,Rue du Faubourg du Temple,48 52 8.7342 N,2 22 6.3078 E,https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1436514195280!6m8!1m7!1sBgSUlJOYvc6x1G9T1ujR_g!2m2!1d48.869138!2d2.368498!3f122.31542743546301!4f-0.1517433690436718!5f0.4000000000000002,48.8691,2.36842,Sister,#ffffff,#000000,bold,uppercase,horizontal,https://images.unsplash.com/photo-1723328237480-03a9bfcf1638?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQ4Mnw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_024.jpg
25,britannic25,France,Bayonne,Rue Pannecau,"43° 29' 23.13"" N","1° 28' 18.6"" W",https://www.google.com/maps/embed?pb=!1m0!3m2!1sit!2sit!4v1440578980854!6m8!1m7!1svaEAYLfHVyfwW24zEa9Vpw!2m2!1d43.48987690406702!2d-1.471502783339378!3f340.27560071866145!4f-9.020969316143365!5f2.2377746766750897,43.489758,-1.471833,Caffè Moka,#ffffff,#ed1c24,bold,uppercase,vertical,https://images.unsplash.com/photo-1457542553555-6331c3c0855f?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDQ5M3w2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_025.jpg
26,britannic26,Spain,San Sebastian,4 Zabaleta Kalea,"43° 19' 21.87"" N","1° 58' 36.612"" W",https://www.google.com/maps/embed?pb=!1m0!3m2!1sit!2sit!4v1441617380190!6m8!1m7!1sOy9KN2r4PRZ9yx2D_eXzdw!2m2!1d43.32271892758719!2d-1.976761285116312!3f323.0367239287587!4f-7.059156451742879!5f1.9587109090973311,43.322706,-1.976797,"Bar ""El Doble""",#000000,#ffffff,ultra,uppercase,horizontal,https://images.unsplash.com/photo-1721297013582-8735f45b6a8b?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDUxMHw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_026.jpg
27,britannic27,Italy,Bologna,via dè Carracci,"44°30'29.8""N","11°20'13.9""E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sit!2sit!4v1442238490724!6m8!1m7!1sV_4vf5McjvjA9SpnZrUFZA!2m2!1d44.50751059338342!2d11.34184327411635!3f4.724158750872796!4f-3.2290169938989663!5f1.4121954373450212,44.508269,11.33719,Bar tabacchi,#ed1c24,#ffffff,ultra,uppercase,vertical,https://images.unsplash.com/photo-1723184935115-79e5d4e3791d?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDUzOHw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_027.jpg
28,britannic28,Italy,Rimini,via Marecchiese,"44° 3' 24.348"" N","12° 33' 22.398"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1440538732037!6m8!1m7!1sRODtykmC4YMkOGfC96hLfQ!2m2!1d44.05684211712079!2d12.55626583328978!3f5.305861336089777!4f-0.22628610562608742!5f0.7820865974627469,44.056763,12.556222,Autoscuola,#ffffff,#ed1c24,ultra,lowercase,horizontal,https://images.unsplash.com/photo-1723011032825-4980449e6ed2?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDU2Nnw2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_028.jpg
29,britannic29,Spain,Barcelona,Plaça de la Llana,41° 23' 5.8308” N,2° 10' 45.1878” E,https://www.google.com/maps/embed?pb=!1m0!3m2!1sit!2sit!4v1443702320942!6m8!1m7!1svh2onvFy1c1CP68hJxrhRw!2m2!1d41.3850315!2d2.1792866!3f177.01173!4f-3.8273539999999997!5f0.7820865974627469,41.384953,2.179219,Horario,#000000,#ffffff,bold,uppercase,horizontal,https://images.unsplash.com/photo-1690973691921-2f472ec2841a?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDYwN3w2c01WalRMU2tlUXx8ZW58MHx8fHx8,britannic_029.jpg
30,britannic30,Italy,Milano,Malpensa Terminal 2,"45° 38' 51.222"" N","8° 43' 21.45"" E",http://www.peradesso.com/progetti/britannic/error/error.html,45.647562,8.722625,Fatema parking,#000000,#ffffff,ultra,uppercase,horizontal,https://images.unsplash.com/photo-1726059968922-0396248fdaea?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,britannic_030.jpg
31,britannic31,Spain,Barcelona,Carrer de Torres i Amat,"41° 23' 3.15"" N","2° 9' 49.872"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1443708706934!6m8!1m7!1sUs-gyVs1DiTpL2ndlGoUrg!2m2!1d41.38411939723517!2d2.164072560719699!3f11.751240171115818!4f0.12640363930034937!5f0.7820865974627469,41.384208,2.163853,Xarcuteria,#ffffff,#00b37d,bold,uppercase,horizontal,https://images.unsplash.com/photo-1725652800358-ae3a752cfb68?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwxMnx8fGVufDB8fHx8fA%3D%3D,britannic_031.jpg
32,britannic32,Italy,Parma,Autostrada del Sole,"44° 49' 10.848"" N","10° 23' 52.008"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1442828087730!6m8!1m7!1suvQQ-pjBHXOs5KT3V3jw5g!2m2!1d44.82502279525477!2d10.38325610629301!3f209.30700383843558!4f-6.672758954716855!5f0.7820865974627469,44.819657,10.39772,Traslochi la Casertana,#ed1c24,#ffffff,ultra,uppercase,horizontal,https://plus.unsplash.com/premium_photo-1725588379392-7a56d6eff9ab?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwxOXx8fGVufDB8fHx8fA%3D%3D,britannic_032.jpg
33,britannic33,Spain,Barcelona,Avinguda del Paral·lel,"41° 22' 30.402"" N","2° 9' 18.228"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1443709015686!6m8!1m7!1sFbDw-SgOQ2emB7tJ8Pui-Q!2m2!1d41.37499355609084!2d2.154885473178527!3f175.93669275315833!4f-0.7472073441644227!5f2.0510704911321946,41.375112,2.155063,Cafeteria Lucca Pizzeria,#00b37d,#ed1c24,condensed,uppercase,horizontal,https://images.unsplash.com/photo-1720802616209-c174c23f6565?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHwzMHx8fGVufDB8fHx8fA%3D%3D,britannic_033.jpg
34,britannic34,Italy,Casoni,Strada Provinciale 1,"44° 43' 31.08"" N","11° 3' 0.57"" E",https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sit!4v1442827053045!6m8!1m7!1sfhs5lxx9nsQCjqSC2UTVew!2m2!1d44.72529212805281!2d11.05027543052544!3f223.75927956019973!4f-2.7699943969567613!5f2.4459148979988825,44.72531,11.050151,Impresa di pulizia,#2c4096,#ffffff,ultra,lowercase,horizontal,https://images.unsplash.com/photo-1726041453467-5fa7dce0251d?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxmZWF0dXJlZC1waG90b3MtZmVlZHw1Mnx8fGVufDB8fHx8fA%3D%3D,britannic_034.jpg
